child_unique_id,child_object,child_resource_type,parent_unique_id,parent_object,parent_resource_type,generated_at
model.browserbase_warehouse.stg_sessions,silver.stg_sessions,model,source.browserbase_warehouse.bronze_supabase.browser_sessions,bronze_supabase.browser_sessions,source,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.fct_finance_bill_adjustments,silver.fct_finance_bill_adjustments,model,model.browserbase_warehouse.stg_finance_bill_adjustments,silver.stg_finance_bill_adjustments,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.users,silver.users,model,source.browserbase_warehouse.bronze_supabase.organization_members,bronze_supabase.organization_members,source,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.users,silver.users,model,model.browserbase_warehouse.stg_users,silver.stg_users,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.dim_finance_cards,silver.dim_finance_cards,model,model.browserbase_warehouse.stg_finance_cards,silver.stg_finance_cards,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.dim_finance_vendors,silver.dim_finance_vendors,model,model.browserbase_warehouse.stg_finance_vendors,silver.stg_finance_vendors,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.fct_events,silver.fct_events,model,source.browserbase_warehouse.bronze_supabase.session_events,bronze_supabase.session_events,source,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.fct_events,silver.fct_events,model,model.browserbase_warehouse.fct_runs,silver.fct_runs,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.organizations,silver.organizations,model,model.browserbase_warehouse.stg_organizations,silver.stg_organizations,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.organizations,silver.organizations,model,model.browserbase_warehouse.stg_subscriptions,silver.stg_subscriptions,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.organizations,silver.organizations,model,model.browserbase_warehouse.stg_plans,silver.stg_plans,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.organizations,silver.organizations,model,model.browserbase_warehouse.stg_sessions,silver.stg_sessions,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.fct_finance_bills,silver.fct_finance_bills,model,model.browserbase_warehouse.stg_finance_bills,silver.stg_finance_bills,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.dim_users,silver.dim_users,model,model.browserbase_warehouse.users,silver.users,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.fct_finance_bill_payments,silver.fct_finance_bill_payments,model,model.browserbase_warehouse.stg_finance_bill_payments,silver.stg_finance_bill_payments,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.fct_subscriptions,silver.fct_subscriptions,model,model.browserbase_warehouse.stg_subscriptions,silver.stg_subscriptions,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.fct_finance_reimbursements,silver.fct_finance_reimbursements,model,model.browserbase_warehouse.stg_finance_reimbursements,silver.stg_finance_reimbursements,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.dim_finance_departments,silver.dim_finance_departments,model,model.browserbase_warehouse.stg_finance_departments,silver.stg_finance_departments,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.sessions,silver.sessions,model,source.browserbase_warehouse.bronze_supabase.session_events,bronze_supabase.session_events,source,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.sessions,silver.sessions,model,model.browserbase_warehouse.stg_sessions,silver.stg_sessions,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.fct_finance_transactions,silver.fct_finance_transactions,model,model.browserbase_warehouse.stg_finance_transactions,silver.stg_finance_transactions,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.fct_runs,silver.fct_runs,model,model.browserbase_warehouse.sessions,silver.sessions,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.dim_organizations,silver.dim_organizations,model,model.browserbase_warehouse.organizations,silver.organizations,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.fct_finance_payment_reversals,silver.fct_finance_payment_reversals,model,model.browserbase_warehouse.stg_finance_payment_reversals,silver.stg_finance_payment_reversals,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.product_kpis,product.product_kpis,model,model.browserbase_warehouse.product_daily,product.product_daily,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.product_daily,product.product_daily,model,model.browserbase_warehouse.sessions,silver.sessions,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.daily_sessions,product.daily_sessions,model,model.browserbase_warehouse.sessions,silver.sessions,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.daily_sessions,product.daily_sessions,model,model.browserbase_warehouse.organizations,silver.organizations,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.gtm_pipeline_snapshot,growth.gtm_pipeline_snapshot,model,model.browserbase_warehouse.stg_gtm_leads,silver.stg_gtm_leads,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.gtm_pipeline_snapshot,growth.gtm_pipeline_snapshot,model,model.browserbase_warehouse.stg_gtm_opportunities,silver.stg_gtm_opportunities,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.signal_trial_conversion_risk_daily,growth.signal_trial_conversion_risk_daily,model,model.browserbase_warehouse.fct_subscriptions,silver.fct_subscriptions,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.signal_trial_conversion_risk_daily,growth.signal_trial_conversion_risk_daily,model,model.browserbase_warehouse.fct_runs,silver.fct_runs,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.signal_trial_conversion_risk_daily,growth.signal_trial_conversion_risk_daily,model,model.browserbase_warehouse.organizations,silver.organizations,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.growth_daily,growth.growth_daily,model,model.browserbase_warehouse.sessions,silver.sessions,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.growth_daily,growth.growth_daily,model,model.browserbase_warehouse.organizations,silver.organizations,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.growth_daily,growth.growth_daily,model,model.browserbase_warehouse.users,silver.users,model,2026-03-03T03:38:36.101070+00:00
model.browserbase_warehouse.gtm_campaign_channel_performance,growth.gtm_campaign_channel_performance,model,model.browserbase_warehouse.stg_gtm_lead_touches,silver.stg_gtm_lead_touches,model,2026-03-03T03:38:36.101070+00:00
